age,job,marital,education,balance,housing,duration,campaign,subscribed
34,3,1,2,-1205,0,330,5,0
41,6,0,3,5092,1,11,22,0
44,2,2,3,-1494,1,11,13,0
52,8,0,2,48,0,516,16,0
50,0,0,2,4385,1,264,11,0
20,0,1,0,2688,0,65,20,0
61,2,0,3,2427,0,4,4,0
37,6,1,1,358,0,400,17,0
93,7,2,0,-45,1,130,3,0
60,0,1,1,-880,0,164,11,0
32,2,0,0,4580,1,88,25,0
38,7,0,2,5553,0,204,6,0
45,5,2,2,4849,0,171,10,0
65,4,0,1,3122,1,2,21,0
47,2,0,1,3398,0,270,14,0
35,5,1,0,-1547,0,138,8,0
42,0,1,2,6793,0,67,22,0
39,9,0,3,292,1,9,12,0
40,8,2,1,-3040,0,229,11,0
48,5,0,0,-756,0,17,18,0
52,11,0,0,1560,1,169,13,0
47,2,0,0,-1816,1,77,27,0
28,9,2,1,248,1,282,1,0
31,3,2,1,2894,0,119,11,0
39,0,0,2,3491,1,241,15,0
41,5,0,1,398,1,11,21,0
33,4,1,3,1179,0,109,4,0
49,3,0,2,-103,1,232,17,0
34,10,0,2,-1492,1,348,12,0
34,0,0,3,2449,1,177,12,0
31,1,0,0,-1149,1,57,3,0
42,4,0,2,187,1,46,25,0
30,8,1,0,-245,0,44,22,0
46,4,2,2,4332,1,236,10,0
42,0,0,1,121,0,21,1,1
46,1,0,2,2750,0,24,7,0
39,8,1,1,2122,0,421,21,0
36,11,2,3,2215,0,310,24,0
32,9,2,2,5643,1,29,29,0
45,1,1,1,-148,1,348,8,0
52,1,1,0,-297,0,111,19,0
57,1,1,0,-2414,1,219,4,0
40,9,1,3,2427,1,47,5,0
27,4,0,2,-2037,0,440,14,0
29,5,0,0,-1048,0,48,20,0
49,7,0,3,-249,1,125,23,0
43,0,1,1,3317,0,195,15,0
29,2,2,0,2647,1,144,4,0
48,10,2,3,7935,0,15,25,0
66,0,0,0,-1758,1,230,17,1
23,3,0,1,905,1,74,26,0
45,11,2,3,-2,1,102,2,0
38,9,1,0,-396,0,57,10,0
37,5,2,3,-165,1,800,20,0
30,8,2,2,3621,1,18,9,0
18,5,1,2,1559,1,18,1,0
23,2,1,1,293,1,387,26,0
39,2,0,3,-809,1,284,3,0
26,10,1,1,2964,0,98,6,0
25,2,0,0,-3353,1,241,23,1
68,8,2,2,3969,1,131,23,0
29,2,1,2,2275,0,52,26,0
62,7,0,1,440,0,566,1,0
29,2,1,0,-1462,1,282,8,0
32,9,0,0,357,0,462,27,0
40,4,2,3,-905,0,104,13,0
53,4,2,1,-1071,1,31,3,0
47,0,0,1,961,1,731,21,0
38,11,0,3,-1900,1,29,12,0
48,9,1,2,4796,1,18,16,0
60,10,0,2,3682,1,345,20,0
43,0,2,0,-5354,1,187,6,0
46,2,2,3,-2925,1,287,27,0
23,1,0,2,1023,1,344,4,0
31,3,0,0,6606,0,58,1,0
47,7,2,0,323,1,111,27,0
60,7,0,3,-4745,0,7,29,0
20,3,0,2,1509,1,105,3,0
43,11,2,1,-803,0,86,11,0
48,8,1,3,-2552,1,178,9,0
53,0,1,1,3042,1,272,20,0
24,9,0,1,-2803,0,394,18,0
30,8,0,0,-1725,0,313,27,0
46,7,0,0,1313,0,59,24,0
27,6,1,2,258,1,794,18,1
40,7,2,2,2501,1,86,23,0
40,9,1,3,6254,0,19,8,1
46,6,0,2,-2547,1,43,9,0
36,2,1,3,-1776,0,144,20,0
47,3,1,2,1549,1,477,21,0
41,9,0,0,4140,1,134,2,0
52,10,1,0,-897,0,226,7,0
41,11,0,2,-3388,1,39,18,0
32,2,0,1,4647,0,18,11,0
44,4,2,1,-1318,0,272,19,0
42,7,2,0,-424,0,403,28,0
39,0,1,0,1226,1,18,25,0
57,11,2,3,-6940,0,150,16,0
41,4,1,0,4509,0,1182,6,1
36,4,0,1,7447,0,56,19,0
32,5,2,1,-928,0,5,8,0
18,2,0,0,6786,0,125,9,0
37,11,1,0,-751,0,546,21,0
38,0,1,0,-568,1,518,3,0
47,9,2,3,-273,0,88,7,0
38,5,0,1,4509,0,262,1,0
28,10,2,0,282,0,44,26,0
44,2,2,2,3224,1,373,28,0
38,3,1,0,4235,0,274,10,0
37,1,0,2,-2428,1,614,21,0
55,2,0,1,-630,1,525,19,0
46,3,1,2,878,0,4,8,0
47,7,0,2,4285,0,104,19,0
34,8,1,3,3158,0,14,19,0
27,9,0,2,-2501,0,94,10,0
36,5,0,3,-568,0,420,17,0
36,9,1,2,4646,0,309,2,0
40,3,1,0,-339,1,8,16,0
49,1,1,1,3497,1,43,2,0
49,2,0,0,1148,1,32,11,0
46,11,0,2,1442,1,76,23,0
47,11,2,1,2281,1,433,5,0
30,7,1,1,-2833,0,176,4,0
54,4,2,1,4773,1,166,12,0
41,0,0,1,-3830,1,109,14,0
45,9,0,2,6532,1,34,8,0
50,0,1,1,2308,0,73,22,0
40,1,1,0,-1725,1,309,16,0
22,8,0,3,-316,1,633,6,0
30,1,1,0,3844,0,75,6,0
46,0,2,3,1145,1,81,20,0
32,0,1,1,5762,0,25,11,0
19,9,1,3,-629,0,190,13,0
40,8,1,3,2339,1,158,21,0
22,6,0,2,1959,0,359,7,0
42,7,2,0,-646,1,170,28,0
35,3,2,3,233,0,312,28,0
52,7,1,0,4918,0,449,29,0
28,1,2,2,-276,1,26,11,0
27,0,1,0,1297,1,111,8,0
52,10,0,1,3729,0,181,25,0
27,7,1,2,2287,1,337,18,0
49,3,1,1,2002,0,727,15,0
47,8,2,0,1147,1,447,23,0
77,3,2,1,-574,1,645,14,1
29,1,2,1,5598,0,88,23,0
46,9,1,0,6519,0,94,14,0
23,11,1,1,5681,1,225,1,0
47,11,0,0,-3542,0,228,20,0
24,10,0,3,-590,1,31,22,0
41,5,2,2,3101,0,481,29,1
41,4,1,3,-2931,0,89,7,0
51,8,1,3,3912,1,767,9,0
39,11,1,2,-5510,1,129,1,0
43,6,2,3,2898,1,53,26,0
41,2,2,1,2088,0,562,29,0
41,0,2,1,6660,0,445,24,0
32,7,0,2,189,1,210,8,0
47,9,2,3,4000,0,580,17,1
36,7,0,0,-4486,0,61,4,0
44,5,1,3,2464,1,134,6,0
29,9,0,1,4189,1,230,14,1
40,5,1,1,-1811,0,52,5,0
45,4,0,0,4423,1,679,11,0
38,7,1,1,-3984,0,118,27,1
33,6,0,0,4785,1,1084,6,1
27,5,0,3,1329,1,60,26,0
37,10,1,2,5470,0,795,2,0
38,8,2,0,-1108,1,628,26,0
41,4,1,3,1146,1,758,18,0
33,5,2,2,-657,0,192,25,0
49,8,0,1,6004,1,7,5,0
48,1,0,1,4986,0,43,6,0
44,5,2,0,-2972,0,430,20,0
39,6,2,3,-1959,0,249,10,0
37,5,0,0,2922,1,452,14,0
39,6,2,0,1841,1,229,27,1
40,1,0,0,-987,1,255,24,0
24,6,1,3,229,1,382,11,0
37,6,1,2,3054,0,39,12,0
39,3,0,3,2241,1,488,24,0
26,4,2,2,-2769,1,368,25,0
25,2,1,3,65,1,497,2,0
33,9,2,0,2956,0,326,20,0
64,9,1,2,5771,1,810,20,1
54,7,0,3,1581,1,36,8,0
45,8,1,1,5153,1,147,1,1
30,3,1,3,-2998,0,42,16,0
47,10,0,3,-1495,1,79,8,0
43,2,2,1,1038,1,310,28,0
32,8,2,1,1924,1,928,11,0
39,5,2,2,458,1,12,23,0
44,11,0,2,-146,1,118,6,0
40,1,0,3,-1980,1,213,5,0
57,6,0,1,5017,1,12,25,0
41,9,0,1,-4244,1,342,11,0
46,4,1,1,1549,1,73,8,0
36,5,1,1,3905,0,208,27,0
28,9,2,3,3790,0,325,5,0
35,2,0,0,4554,1,34,3,0
46,11,0,0,-1167,1,205,21,0
38,1,1,2,4254,1,57,17,0
47,2,0,3,2753,0,488,6,0
46,8,0,3,3849,1,1053,28,0
41,3,0,3,4198,1,267,21,0
26,10,0,3,-837,0,921,1,0
36,4,1,1,-3101,1,64,20,0
37,6,1,2,173,0,195,10,0
41,9,2,1,-1811,0,82,19,0
29,2,1,3,390,0,341,9,0
46,2,2,3,2346,0,914,16,0
58,8,1,1,-3631,0,556,8,0
45,6,1,3,-2538,1,20,27,0
45,1,0,2,-72,0,91,15,0
19,10,0,1,-5454,1,157,29,0
33,10,0,2,-3335,1,20,25,0
39,3,1,3,-569,0,188,23,0
29,3,2,1,3491,1,182,29,0
48,0,0,3,426,1,65,4,0
43,7,1,2,3427,0,405,13,1
46,9,2,2,-723,1,132,11,0
23,7,0,2,7818,1,835,4,0
27,6,1,1,3385,0,115,5,0
53,10,2,3,3894,1,51,21,0
25,0,2,1,7412,0,147,6,0
43,4,0,1,2441,1,101,27,0
39,7,0,3,1715,0,475,13,0
65,10,0,3,2213,1,20,12,0
28,11,0,1,-2120,0,7,3,0
26,4,0,0,2632,0,921,14,1
42,11,1,0,4495,0,702,4,0
51,9,0,2,-2410,0,608,20,0
54,9,1,1,-4634,0,50,10,0
30,4,0,0,5816,1,28,17,0
48,2,0,0,2143,1,159,17,0
20,11,0,1,-681,1,157,21,0
57,11,0,0,917,0,234,22,0
45,1,1,0,580,0,144,17,0
18,3,2,2,1618,1,3,18,0
40,1,0,1,2576,1,212,3,0
30,1,0,0,4260,0,441,19,0
31,7,0,3,5704,0,39,6,0
55,5,0,2,129,0,45,27,0
31,7,1,2,-2273,0,35,20,0
28,7,2,3,3234,1,412,12,0
54,11,2,2,-1696,1,310,6,0
50,1,0,0,2557,0,1,18,0
32,4,1,2,1089,0,52,8,0
29,11,1,1,3645,1,94,26,0
39,10,2,2,1183,1,244,24,0
53,1,2,0,7159,0,92,25,0
44,6,2,2,6435,1,62,29,0
47,8,0,2,-188,0,259,29,0
39,10,1,1,-2983,1,60,29,0
33,0,0,3,860,1,113,3,1
31,1,1,1,2289,1,583,2,0
36,1,1,0,-256,1,542,9,1
26,11,1,0,1453,0,1072,28,1
35,1,1,3,2864,0,10,2,0
37,10,1,3,-1032,1,94,25,0
26,5,0,2,-2721,1,100,3,0
35,6,0,2,1257,0,192,14,0
38,7,1,0,4479,0,189,28,0
52,6,2,0,4473,0,576,10,0
59,7,2,2,171,0,17,13,0
38,8,2,0,4913,1,217,18,0
39,1,0,3,-3161,0,180,25,0
27,9,0,2,242,0,249,4,0
51,1,0,3,-1475,1,228,3,1
61,1,0,0,3255,1,344,3,0
31,1,2,3,1466,1,218,29,0
41,11,0,0,408,1,374,11,0
42,9,1,3,1998,1,211,18,0
53,0,0,3,8468,0,36,14,0
41,6,0,2,1742,0,409,18,0
45,1,2,3,4349,1,73,20,0
56,7,1,0,707,1,392,5,0
40,11,2,2,-437,1,98,17,0
41,9,1,0,7641,1,44,13,0
46,0,2,0,1773,0,183,15,0
50,0,2,0,1335,1,370,9,0
54,5,2,0,3671,1,357,29,0
42,4,0,1,5207,1,627,23,0
68,10,0,1,2520,0,200,26,0
48,2,0,3,2988,0,471,11,0
46,8,0,3,354,1,486,6,0
57,4,1,0,1810,0,22,19,0
64,1,1,3,-153,0,61,10,0
24,0,0,2,-3146,1,285,28,0
56,6,2,0,3452,0,965,18,0
48,10,2,2,6210,0,2,28,0
26,10,2,0,-875,1,111,29,0
45,1,2,2,3800,1,2,11,0
32,4,1,2,4586,1,1028,22,0
42,9,0,0,-574,0,133,20,0
41,5,2,3,3677,0,152,10,0
27,4,1,0,2109,0,571,23,0
46,8,2,1,745,1,811,2,0
27,6,1,1,4558,1,672,2,0
66,11,0,1,4904,0,93,16,0
24,7,1,0,3454,0,102,9,0
43,5,2,1,4398,0,615,25,0
34,0,1,2,2071,1,706,26,0
33,10,1,1,-1864,0,301,1,0
47,6,1,1,5665,0,1199,13,1
34,2,2,3,-1449,1,385,15,0
40,3,1,1,-1279,1,192,4,0
45,3,0,0,-506,0,522,18,0
31,9,2,1,2203,0,6,16,0
36,1,0,3,1193,0,88,27,0
43,3,0,2,1963,0,191,17,0
44,4,2,0,10167,1,325,21,0
35,6,1,1,-2888,0,61,27,0
32,7,2,2,3072,1,97,24,0
38,1,0,3,938,1,237,7,0
34,11,2,1,1791,1,84,12,0
52,0,0,1,-832,1,203,27,0
27,0,1,3,696,0,498,18,0
44,4,2,0,3876,1,554,15,0
54,4,1,2,-2218,0,448,7,0
46,9,1,1,-2267,1,54,27,0
18,9,0,2,3453,1,1301,8,1
40,3,0,1,-1934,1,17,20,0
46,0,2,2,2326,0,198,15,0
38,7,2,3,3097,1,276,19,0
50,9,2,1,1107,0,410,11,0
44,5,1,0,2146,1,315,12,0
57,2,1,1,5556,1,55,8,0
18,9,2,1,4124,1,436,27,0
32,9,0,0,4298,0,358,5,0
49,1,0,1,4655,0,38,2,0
50,11,0,1,-1317,1,506,9,0
48,3,1,0,-745,0,275,29,0
40,0,2,3,-3685,1,18,7,0
44,7,0,0,3847,1,113,22,0
56,3,1,2,396,1,848,9,1
38,8,0,2,-3113,1,144,4,0
40,3,1,1,816,1,117,25,0
60,1,1,1,-2409,1,483,21,0
27,11,0,2,4573,0,60,19,0
47,11,1,0,-1396,0,88,7,0
43,9,1,0,-1862,0,22,5,0
42,1,2,1,4305,0,114,12,0
40,2,2,1,-1077,0,186,8,0
18,11,0,2,4199,1,56,19,0
28,3,0,2,1102,0,270,6,0
49,1,1,2,-5893,1,270,22,0
28,0,2,1,2990,0,101,9,0
52,10,1,0,-5,0,87,12,0
57,11,0,0,-3494,0,465,24,0
31,10,2,0,-36,0,161,11,0
46,0,1,2,3518,1,145,25,0
46,2,2,0,3300,1,56,14,0
53,1,0,3,6857,0,217,16,0
44,2,0,1,42,0,63,11,1
48,10,0,2,4664,0,8,11,0
46,11,1,1,-1054,1,207,5,0
36,2,0,1,5736,0,18,6,0
37,7,1,2,2211,0,27,19,0
47,0,1,1,719,0,221,8,0
20,3,2,0,604,1,141,24,0
20,6,0,3,3371,1,483,29,0
50,11,1,1,1429,1,19,10,0
35,10,2,1,2200,0,512,7,0
48,6,2,2,5741,1,39,10,1
40,9,2,0,3343,0,369,2,1
34,3,0,2,-2482,1,108,10,0
36,0,2,3,4139,1,138,27,0
35,3,1,1,2996,0,128,17,0
21,6,2,2,636,1,288,11,0
47,1,0,1,-2299,1,57,25,0
18,3,0,3,7912,0,237,17,1
28,2,0,1,6370,0,1871,15,1
44,0,1,2,-1669,1,774,3,0
44,9,1,3,-1566,0,318,20,0
35,8,2,0,-1003,0,137,14,0
35,6,0,2,452,1,214,15,0
51,10,2,1,508,1,131,2,0
39,3,1,3,1567,0,18,6,1
54,1,0,1,-4004,0,65,2,0
48,5,1,2,-3418,0,3,5,0
48,7,2,3,4434,0,89,5,0
28,9,1,1,3368,0,75,27,0
38,5,0,3,810,1,1103,6,1
35,6,2,1,-2268,0,180,17,0
34,8,1,3,3428,1,41,3,1
30,6,0,3,2200,1,349,26,0
37,7,1,3,3038,0,293,23,1
40,2,0,0,3982,1,168,23,0
38,11,2,2,-2583,1,379,12,0
43,9,1,0,9671,1,284,15,0
50,0,0,3,4557,1,491,24,0
41,7,0,3,679,0,84,13,0
25,9,2,2,478,1,78,3,0
39,4,1,0,4402,1,476,20,0
46,8,2,0,357,1,110,7,0
30,3,1,2,-2113,0,217,18,0
32,2,2,0,-1732,0,116,23,0
38,11,0,2,1547,0,58,17,0
41,3,2,3,8006,1,173,18,0
48,0,2,2,-3093,0,21,28,0
61,6,0,0,-1195,1,83,21,0
41,8,1,3,2440,0,282,18,0
60,0,0,2,-145,1,92,14,0
46,11,1,2,7824,0,125,21,0
30,11,2,1,3436,1,44,18,0
40,0,0,2,196,0,244,24,0
26,11,2,2,6884,0,420,10,1
39,2,1,0,965,1,176,19,0
37,10,1,1,2204,0,88,26,0
37,5,1,2,1406,1,24,9,0
46,2,2,2,462,1,76,17,0
38,2,1,2,3560,0,227,8,0
26,4,1,0,3173,1,56,23,0
41,1,0,2,-2468,0,210,10,0
36,1,2,3,2127,1,375,18,0
34,7,0,3,1731,1,51,14,0
40,11,0,0,706,0,70,12,0
24,3,0,3,-1184,1,354,1,0
38,6,1,2,9797,0,277,17,0
30,2,1,2,-1629,1,3,16,0
51,4,0,1,1138,1,493,16,0
22,6,1,2,-6611,1,1022,10,0
50,11,1,1,4744,1,222,10,0
31,6,0,0,-4272,0,146,21,0
47,5,1,1,-2560,0,212,8,0
26,10,2,1,1031,1,41,10,0
38,8,0,1,-2372,1,754,9,0
42,9,2,3,-721,0,22,4,0
21,9,0,0,2731,0,22,3,0
44,2,0,3,-1621,0,365,13,0
22,3,2,2,-833,1,150,10,0
46,7,0,1,4583,0,21,5,0
47,7,0,3,1323,0,8,7,0
29,8,2,1,5958,1,305,9,0
47,1,1,0,2923,0,109,22,0
32,6,2,3,2929,1,322,19,0
60,6,2,1,1774,0,358,17,0
38,5,2,2,3275,0,146,5,0
37,2,1,3,-307,1,153,3,0
25,0,1,3,-105,1,251,14,0
38,1,2,1,5003,1,485,3,0
58,9,2,1,3123,1,160,8,0
52,1,1,1,2029,0,536,11,0
44,0,0,3,2019,0,208,26,0
20,8,0,1,3421,1,7,11,0
47,8,1,0,-2108,1,670,16,0
53,8,2,3,-796,1,779,14,0
34,4,2,3,1755,1,255,24,0
35,8,0,2,4860,0,282,8,0
33,9,2,1,1862,0,598,2,1
42,4,1,1,3616,0,347,27,0
35,8,1,2,2600,1,595,14,0
42,11,2,1,-731,1,24,12,0
46,11,2,0,165,1,105,13,0
45,3,1,2,5,1,182,15,0
28,11,1,2,1611,1,177,4,0
37,3,1,1,2525,0,259,16,0
55,8,2,1,-3143,0,87,14,0
33,4,0,0,3116,0,10,15,0
42,6,2,3,639,1,57,14,0
36,7,1,1,2343,0,159,23,0
53,5,1,0,5576,0,880,16,0
51,5,2,2,7963,1,96,19,1
42,4,2,0,-2057,0,444,16,0
21,6,1,3,843,0,380,12,0
39,9,2,0,202,0,214,6,0
18,4,0,3,4076,1,49,27,0
51,5,0,0,455,1,46,18,0
35,10,2,1,4476,0,497,16,1
47,8,0,0,6510,1,51,24,0
39,6,1,3,3488,0,96,9,0
34,1,1,3,3540,0,109,2,0
28,6,2,1,4846,1,785,28,0
43,10,2,3,1373,0,35,4,0
50,2,0,2,5615,0,192,25,0
47,8,0,3,3618,1,156,5,0
56,1,2,2,7143,0,318,5,1
38,11,0,2,524,1,25,20,0
45,0,2,0,960,0,87,24,0
45,8,1,3,-765,0,28,8,0
64,11,2,1,-376,1,280,23,0
29,2,1,1,-865,0,351,19,0
40,4,2,2,-2591,1,68,2,0
29,7,2,3,6001,1,67,2,0
21,0,2,1,-911,0,499,28,0
34,9,2,0,5644,0,248,8,0
47,10,0,0,2397,1,137,23,0
50,8,1,1,6204,1,89,23,0
35,5,1,1,-1708,0,92,21,0
22,5,1,0,1454,1,233,8,0
33,6,1,0,3423,0,325,17,0
31,4,0,2,-441,0,372,13,0
29,11,0,1,3228,0,632,25,0
30,3,0,3,1382,1,332,27,0
64,1,0,2,1943,1,226,2,0
32,11,1,0,670,0,121,13,0
48,7,0,3,3070,0,121,1,0
45,3,0,2,1599,1,28,2,0
69,8,2,0,853,0,30,20,0
47,9,1,2,-2497,1,101,24,0
42,3,0,3,1850,1,13,7,0
50,5,2,2,1894,0,231,19,0
47,7,1,1,-1010,0,282,17,1
53,10,0,3,-3151,1,576,20,0
47,3,2,0,-1607,0,375,26,0
38,0,1,3,5947,1,352,2,0
55,8,0,1,3124,1,177,23,0
43,3,0,2,4966,0,72,4,0
59,10,0,2,1208,1,35,26,0
36,9,2,2,4459,1,50,22,0
23,3,1,3,1399,0,108,18,0
28,1,0,0,-4241,0,489,3,0
42,11,2,1,-2529,0,425,9,0
43,4,1,2,6070,0,48,25,0
37,0,1,3,2269,1,53,23,0
31,2,2,1,940,0,295,13,0
46,7,2,1,-1963,0,173,14,0
41,7,0,1,474,1,25,3,0
26,6,1,3,1639,0,425,27,0
37,6,0,1,1121,1,160,2,0
22,3,0,0,-1217,1,492,12,0
30,2,2,3,-3100,1,291,1,0
41,5,1,0,1826,0,559,23,0
57,4,2,1,-1257,0,354,28,0
40,10,2,2,4885,0,428,28,0
57,0,1,2,3749,0,1289,1,1
32,6,1,1,2475,0,34,2,0
34,10,2,1,-2407,0,2,26,0
21,3,2,0,6488,0,21,7,0
54,7,0,1,3972,0,98,15,0
46,2,0,3,-1009,1,26,28,0
65,1,0,0,3781,0,39,21,0
46,10,1,1,1807,0,350,11,0
33,4,0,0,1297,0,278,28,0
43,7,2,3,2261,1,790,23,1
58,8,0,1,4997,0,169,7,1
42,5,2,3,-2867,1,13,13,0
28,4,2,3,3709,1,6,23,0
39,5,1,1,-2477,1,16,16,0
32,9,0,3,4714,0,292,16,1
33,6,0,1,336,1,231,16,0
42,2,2,1,3789,1,296,24,0
33,4,1,0,2348,1,244,21,0
44,5,2,0,1345,0,386,12,0
57,7,1,1,600,0,94,22,1
34,5,0,2,140,0,302,5,0
57,10,2,2,1843,1,305,24,0
43,5,0,1,4290,1,273,7,1
32,11,0,2,3163,1,260,9,0
44,0,0,2,726,1,576,19,1
36,6,2,1,-1017,1,20,17,0
34,3,0,0,4479,1,580,2,0
55,5,2,1,2783,0,171,29,0
18,8,0,3,425,1,220,2,0
35,0,0,0,-3117,0,179,5,0
58,6,1,1,2407,1,361,22,0
55,1,0,2,1756,0,646,9,0
18,9,2,3,1560,0,425,2,0
44,0,2,1,5212,1,246,24,0
42,3,2,1,3618,1,308,15,0
36,8,0,3,-715,0,261,28,0
58,5,1,1,754,1,15,10,0
58,2,0,1,3103,0,323,16,0
54,2,0,2,109,0,140,18,0
44,3,2,3,-979,0,39,26,0
23,1,0,1,5004,0,75,26,0
39,8,0,3,2593,0,61,19,1
45,9,0,0,10968,0,267,3,1
34,5,2,2,-1211,1,5,10,0
44,6,2,3,-5300,0,215,21,0
32,6,2,0,-2212,1,130,21,0
43,10,2,3,-1277,1,172,20,0
18,8,2,1,3172,0,45,12,0
31,9,0,3,3586,0,28,11,0
29,3,2,1,-604,1,369,15,0
40,9,1,2,2739,1,43,19,0
29,3,1,3,-346,0,4,16,0
36,5,0,1,3283,1,832,5,1
38,7,2,0,6602,0,64,28,0
54,11,1,0,1767,1,427,27,0
61,2,2,2,4149,1,384,16,0
23,4,1,0,2822,1,274,12,0
21,9,2,1,575,0,68,21,0
46,7,2,1,1695,1,216,26,0
39,5,2,3,879,1,164,9,0
36,6,1,0,-1419,0,350,26,0
33,3,1,2,995,1,137,6,0
28,11,1,0,-3217,0,873,18,0
26,3,1,1,376,0,370,16,0
41,5,0,1,3689,1,84,21,0
44,5,2,1,-637,1,502,23,0
64,6,1,2,1202,0,51,23,0
52,5,0,0,4213,0,306,29,0
46,1,1,2,1723,0,108,15,0
27,10,0,2,2148,1,33,6,0
26,1,0,3,577,0,68,28,0
34,0,2,0,2368,1,151,16,0
22,7,0,3,1247,0,12,15,0
47,8,0,0,3787,0,110,3,0
42,7,2,2,-1210,0,25,10,0
50,11,1,1,3850,0,13,19,0
50,7,2,2,-2668,1,374,11,0
38,1,2,2,373,0,108,19,0
53,0,1,1,-770,1,71,7,0
25,5,2,3,5545,1,525,14,0
53,4,1,2,7292,1,225,19,0
54,3,1,2,5980,0,473,26,0
59,6,1,3,-1318,1,127,12,0
39,8,0,3,1171,1,8,9,0
40,3,2,2,8104,0,306,25,0
41,5,0,3,1888,1,17,16,0
52,5,1,3,-345,1,225,8,0
48,6,0,3,2131,0,229,27,0
53,11,2,2,885,1,87,27,0
43,0,0,3,-1842,0,1639,15,1
