age,education_num,hours_per_week,capital_gain,capital_loss,occupation,marital_status,gender,race,income
55,6,31,0,0,0,4,0,4,0
43,14,12,0,0,5,0,1,4,1
52,6,28,0,0,11,4,1,4,0
36,9,58,0,0,1,2,1,4,0
39,9,38,2000,0,0,0,0,4,0
49,12,72,0,0,8,0,0,0,1
49,9,38,0,0,1,0,1,2,1
67,10,41,0,0,4,4,0,0,0
84,14,32,0,0,4,6,0,4,1
35,9,46,0,0,0,0,1,4,0
44,8,12,0,0,5,0,1,4,0
44,13,30,0,0,4,0,1,4,0
48,9,32,0,2500,8,0,1,4,0
29,15,59,0,0,5,0,1,4,1
41,7,44,0,0,6,0,0,4,0
32,3,48,0,0,6,6,1,4,0
54,9,25,0,0,6,6,0,0,0
55,12,36,0,0,7,1,1,4,0
61,10,50,0,0,8,6,1,4,0
78,10,45,0,0,8,6,0,4,0
54,13,44,0,0,8,4,1,4,1
62,7,40,0,0,0,1,1,4,0
82,9,30,0,0,0,0,0,4,1
44,11,41,0,0,11,4,1,4,1
44,10,38,0,0,1,0,1,4,0
45,12,38,0,0,6,1,1,4,0
66,10,36,0,0,1,0,1,4,1
90,14,19,0,0,10,6,1,4,1
46,10,39,0,0,6,0,0,4,0
50,13,39,0,0,1,0,0,4,1
49,9,35,0,0,11,0,1,2,0
58,12,30,0,0,6,0,1,4,1
72,10,54,0,0,5,0,0,4,1
82,9,20,0,0,0,0,0,4,1
48,12,49,0,2000,4,3,1,4,0
41,11,46,0,0,1,1,1,0,0
53,9,40,0,0,8,4,1,4,0
49,10,43,0,0,7,0,1,4,0
62,12,29,0,0,11,6,1,4,0
42,10,41,0,0,7,0,1,2,0
40,5,41,0,0,6,0,1,4,0
53,8,46,0,0,7,0,1,4,1
43,8,55,0,0,1,1,0,4,0
82,14,40,0,0,4,0,1,4,1
57,8,44,0,0,6,0,1,4,0
44,11,57,0,0,0,0,1,4,1
56,8,33,0,0,7,0,1,4,0
84,10,44,0,0,3,6,1,4,0
37,13,38,0,2000,2,0,1,4,1
40,12,20,0,0,6,0,1,4,0
32,13,31,0,0,10,0,0,4,0
54,9,45,0,0,2,0,1,4,0
57,11,43,0,0,7,1,1,0,0
73,6,36,0,0,7,4,1,4,0
49,11,32,0,0,7,1,0,4,0
49,7,39,0,0,8,0,1,0,0
79,9,33,0,0,5,1,1,4,0
47,7,43,0,0,13,0,0,4,0
38,12,33,0,0,5,0,0,4,0
41,13,28,0,0,4,6,0,3,0
87,5,55,0,0,0,0,1,4,1
77,8,25,0,0,8,0,1,4,0
42,9,54,0,0,11,4,0,4,0
61,1,31,0,0,5,1,1,4,0
42,12,28,0,0,2,0,0,4,0
90,9,36,0,0,3,4,1,4,1
43,6,16,0,0,11,1,1,4,0
38,10,27,0,0,6,0,1,4,0
45,5,32,0,0,10,0,0,4,0
90,9,37,0,0,6,6,1,4,0
55,13,31,0,2500,3,2,1,4,0
38,8,53,0,0,4,4,1,0,0
59,11,69,0,0,5,4,1,4,0
36,12,43,25000,0,5,0,1,4,0
69,16,35,0,0,6,1,0,4,0
64,11,22,0,0,4,0,0,0,1
66,11,57,0,0,0,0,0,4,0
53,9,40,0,1500,6,0,1,4,0
57,7,55,0,0,4,0,1,0,0
59,7,13,0,0,7,0,1,4,0
52,10,34,0,0,7,5,1,4,0
56,10,45,0,0,2,0,1,4,1
36,11,48,0,0,2,1,1,4,0
39,11,29,0,0,1,6,1,4,0
54,6,31,0,0,5,0,1,4,0
37,9,29,0,0,0,0,0,4,0
48,8,26,0,0,12,6,1,3,0
37,11,40,0,0,0,2,0,4,0
71,10,16,25000,0,3,0,1,2,0
34,8,22,0,0,0,0,1,4,0
51,8,48,0,0,11,6,0,4,0
33,8,62,0,0,2,0,1,4,0
31,4,32,15000,0,12,0,0,4,0
45,14,66,0,0,11,0,1,4,1
69,11,22,0,0,5,0,1,4,0
51,7,53,0,0,12,5,1,4,0
48,12,36,0,0,2,4,1,4,0
32,11,64,0,0,6,4,1,0,0
33,10,23,0,0,1,2,1,4,1
57,8,40,0,0,9,6,1,4,0
55,8,27,0,0,6,2,1,4,0
71,14,26,5000,0,11,0,0,4,0
74,11,30,0,0,6,4,1,4,0
90,11,37,0,0,6,0,1,4,1
55,8,49,0,0,8,6,1,4,0
78,8,45,0,0,0,2,1,4,1
90,10,45,0,0,4,0,0,4,0
49,14,49,99999,0,1,2,1,4,1
55,13,53,2000,0,11,1,0,0,0
40,12,35,0,0,10,1,1,4,0
60,11,14,0,0,8,4,1,4,0
39,13,55,0,0,11,0,0,4,1
43,14,49,0,0,10,0,1,0,0
75,12,40,0,0,5,6,1,1,0
45,12,25,0,0,12,2,1,4,1
62,11,41,0,0,5,0,1,0,0
63,9,26,0,0,13,0,1,4,0
31,9,26,0,0,12,0,1,4,0
65,13,43,0,0,11,6,0,4,0
46,10,30,0,0,2,0,1,4,0
42,8,40,0,0,2,2,1,4,0
54,11,41,0,1500,4,1,1,4,0
46,11,45,0,0,1,6,1,4,0
65,9,41,0,0,0,0,1,4,1
60,8,49,0,0,7,3,1,4,0
84,13,38,0,0,3,5,1,4,1
52,13,49,0,0,6,1,1,4,1
49,5,41,0,1500,2,0,1,4,0
90,11,49,0,0,2,4,1,4,1
67,11,33,0,0,7,4,1,0,1
49,13,45,0,0,2,0,1,4,0
85,7,45,0,0,1,0,1,4,0
57,9,53,0,0,11,1,1,4,0
45,13,43,0,0,8,0,0,4,0
42,11,39,0,0,1,6,1,4,1
51,11,49,0,0,1,0,1,4,1
55,16,33,0,0,2,6,0,4,1
52,14,37,0,0,4,4,0,4,0
55,8,51,0,0,0,0,0,4,0
65,11,40,0,0,1,0,1,4,0
44,8,36,5000,0,0,1,1,4,0
34,11,54,10000,500,6,2,1,4,0
39,14,22,0,0,9,0,1,4,0
60,9,41,0,0,1,0,1,4,1
43,11,56,0,0,10,3,1,0,0
54,5,54,0,0,3,0,0,4,1
43,10,35,0,0,2,4,1,4,0
44,9,46,0,0,1,4,1,4,1
55,11,49,0,0,12,2,0,4,0
61,9,34,0,0,2,0,1,4,0
53,8,49,0,2500,3,1,0,4,0
59,13,50,0,0,0,6,0,0,0
36,7,42,0,0,12,4,1,4,0
49,7,32,0,0,0,5,1,4,0
46,10,20,0,0,3,0,0,4,0
62,16,38,0,0,1,0,1,4,1
42,11,32,0,0,2,0,0,4,0
34,8,54,0,0,1,0,1,4,0
34,8,36,0,0,2,0,1,4,0
52,11,40,0,0,2,0,1,4,1
57,12,36,0,0,2,6,1,4,0
55,8,51,0,0,6,0,0,4,0
47,5,22,0,0,3,4,0,4,0
45,9,39,0,0,2,4,0,4,0
56,14,31,0,0,5,0,1,4,1
40,8,33,0,0,2,6,1,4,0
48,10,47,0,0,6,0,0,1,0
52,6,21,0,1500,10,6,0,4,0
81,11,61,0,0,10,4,1,4,0
31,8,13,0,0,1,0,0,3,0
44,10,32,0,0,0,0,1,4,0
48,8,32,0,0,8,0,1,4,0
75,6,35,0,0,11,2,1,4,0
55,9,35,0,0,5,0,1,4,0
68,15,26,0,0,0,6,0,4,0
32,13,54,0,0,7,0,1,4,0
71,11,45,0,0,1,1,1,4,0
39,8,43,0,0,3,0,1,4,0
58,9,26,0,0,7,0,1,4,0
52,13,48,0,0,10,0,1,4,1
41,10,23,0,0,5,0,0,4,0
32,9,34,0,0,2,1,1,4,0
67,9,28,0,0,4,0,1,4,0
58,10,34,0,0,1,1,1,4,1
63,16,41,0,0,4,6,0,4,1
60,8,18,10000,0,6,4,1,4,0
33,10,34,0,0,2,0,0,4,0
45,11,30,0,0,3,0,0,4,0
58,13,36,5000,0,11,6,1,4,1
36,16,30,0,2000,0,3,1,4,1
50,13,45,0,0,10,1,1,0,0
43,8,34,0,0,9,0,1,4,0
68,12,23,0,0,3,6,1,0,0
60,13,43,0,0,2,2,1,4,0
47,9,56,0,0,7,6,0,4,0
48,8,27,0,0,10,0,0,4,0
53,11,59,0,0,0,4,0,4,1
74,11,55,0,500,5,0,0,0,0
42,11,29,0,0,2,0,1,0,1
41,6,58,0,0,1,0,1,4,1
48,11,24,99999,0,4,6,1,4,1
54,13,44,0,0,0,4,1,2,0
30,12,41,0,0,5,1,1,4,0
28,8,20,0,0,0,0,1,4,0
72,11,42,0,0,5,0,0,4,1
61,13,48,0,0,2,6,1,4,1
33,10,21,0,0,9,4,1,0,0
53,10,47,0,0,5,2,1,0,0
38,10,37,0,0,5,4,1,4,0
50,11,35,0,0,7,1,0,4,0
46,8,39,0,0,1,4,1,4,0
26,13,53,0,0,0,0,1,4,1
36,11,31,0,0,10,0,1,4,0
60,12,55,0,0,11,1,1,4,0
54,9,46,0,0,8,6,0,4,0
90,11,53,0,0,9,1,1,4,1
41,12,58,0,0,6,0,0,4,0
78,12,49,0,0,5,0,1,4,1
77,9,23,0,0,7,4,1,0,0
43,8,39,0,0,8,4,1,0,0
51,8,26,0,0,1,0,0,4,0
80,10,41,0,0,9,2,1,4,1
43,11,17,0,500,10,6,1,4,0
47,10,21,0,0,6,0,0,4,0
80,12,53,0,0,3,5,0,4,1
53,11,34,0,0,1,0,0,4,0
51,10,31,0,0,6,6,0,4,0
52,13,45,0,0,0,1,0,4,0
51,8,29,0,0,11,0,1,4,0
38,12,26,0,0,4,1,0,4,1
50,13,42,0,0,9,6,1,4,1
69,9,72,0,0,11,0,1,4,1
44,13,33,0,0,1,1,1,4,1
70,11,30,0,0,7,0,0,4,0
56,6,33,0,0,8,0,1,4,0
42,11,34,0,0,11,0,1,4,1
44,12,50,0,0,3,1,1,4,0
78,12,15,0,0,0,6,0,4,0
52,16,29,0,0,7,0,1,4,1
48,11,26,0,0,1,6,1,0,0
65,10,32,0,0,3,6,0,2,0
26,9,56,0,0,11,1,1,0,0
67,12,49,0,0,0,1,0,0,0
67,13,44,0,0,5,6,1,4,0
52,9,24,0,0,0,1,1,4,0
54,10,47,0,0,9,6,0,4,0
43,13,59,7000,0,1,0,1,1,1
45,12,41,25000,0,0,6,1,4,0
60,7,48,0,0,5,6,1,4,0
47,6,50,0,0,5,6,0,4,0
55,11,48,0,0,6,0,1,4,0
48,7,17,0,0,10,1,1,4,0
62,11,45,0,0,0,0,1,4,1
35,13,35,0,0,6,0,1,4,1
67,12,28,0,0,0,4,1,0,0
52,11,43,0,0,9,0,1,4,0
67,11,50,0,0,3,0,1,4,0
37,11,63,0,0,4,1,1,4,0
69,11,45,0,0,5,1,1,4,1
38,13,34,0,0,11,0,0,4,0
63,8,4,0,0,10,0,0,4,0
58,8,37,0,0,6,4,0,0,0
42,10,33,0,0,2,4,0,4,0
66,8,29,0,0,11,6,1,0,0
42,9,61,0,0,8,6,1,4,0
48,8,39,0,0,9,0,0,4,0
40,12,21,0,0,2,4,1,4,0
46,8,37,0,0,0,0,1,4,0
53,9,27,0,0,7,0,1,4,1
42,9,24,0,0,2,0,0,4,1
51,11,44,2000,0,12,2,0,4,0
64,14,36,0,0,5,4,1,4,1
36,9,51,0,0,13,0,1,4,0
41,7,32,0,0,0,1,0,4,0
55,10,48,0,0,3,6,1,4,0
35,12,47,0,0,7,0,1,4,0
65,14,51,0,0,1,0,1,0,1
79,7,29,0,2000,2,0,1,1,0
50,9,39,0,0,7,6,1,0,0
45,11,29,99999,0,6,4,1,0,0
51,8,27,0,0,0,1,1,4,0
48,10,77,0,0,2,6,1,0,0
70,7,53,7000,0,7,0,1,4,0
49,10,47,0,0,1,0,1,4,1
63,11,43,0,0,10,0,1,0,0
51,13,43,0,0,2,0,1,4,1
40,7,48,0,2500,2,0,1,4,0
68,12,26,0,0,13,0,1,2,1
67,14,45,0,0,0,0,1,4,1
41,12,49,0,0,4,0,1,4,0
48,11,20,0,0,0,0,0,4,1
62,10,29,0,0,4,1,1,4,0
49,6,44,0,0,2,6,1,4,0
66,7,21,0,0,3,0,1,4,0
47,12,60,0,0,10,0,1,4,0
41,9,43,0,0,1,0,0,4,0
71,12,17,0,0,5,6,1,4,0
34,6,40,0,0,5,1,1,4,1
65,12,56,0,0,1,6,1,4,1
40,8,32,1000,0,13,0,0,4,0
58,10,33,0,0,0,1,1,4,0
84,10,38,0,0,12,0,1,4,0
30,13,49,0,0,1,1,1,4,0
42,12,41,0,0,7,1,1,4,1
60,6,18,0,0,2,1,0,4,0
42,7,31,0,0,7,1,1,4,0
64,15,28,0,0,0,1,1,4,1
68,11,49,0,0,8,5,1,1,0
41,11,48,0,0,2,6,1,4,0
77,9,35,0,0,3,1,1,4,1
75,9,38,5000,0,10,1,1,4,0
39,12,58,0,0,6,1,1,4,0
48,11,28,0,0,11,1,1,4,0
51,10,43,0,0,12,2,1,4,0
50,5,45,0,0,4,1,1,0,0
42,11,40,0,0,0,6,1,4,0
40,9,24,0,0,5,1,1,0,0
51,7,54,0,0,5,0,1,4,0
67,8,28,0,0,1,0,0,4,0
47,11,48,0,0,4,6,0,4,0
63,14,19,0,0,6,0,1,4,1
64,5,35,0,0,6,0,1,4,0
43,11,25,0,0,2,1,0,4,0
41,11,34,0,0,6,0,1,4,0
35,14,53,0,0,12,0,1,4,1
55,15,34,0,0,2,0,1,4,1
68,10,28,0,0,9,4,1,4,0
59,10,30,0,0,12,4,0,4,0
69,10,52,0,0,12,0,1,4,0
49,3,54,0,0,2,0,0,0,0
32,11,45,0,0,7,0,1,4,0
38,15,44,0,0,13,0,1,0,1
37,6,36,0,0,6,0,1,4,0
61,14,60,0,0,2,4,1,4,1
55,10,33,0,0,4,1,0,4,1
44,8,58,0,2500,9,0,0,4,0
35,6,43,0,0,3,4,1,2,0
45,12,19,15000,0,4,0,1,3,0
57,14,30,0,0,1,2,1,4,1
46,14,29,0,0,0,1,0,4,0
46,13,46,0,0,1,6,0,1,0
56,8,39,0,0,11,6,1,0,0
46,8,45,0,0,4,6,1,4,0
82,10,32,0,0,9,0,0,0,0
67,13,25,0,0,10,6,1,4,0
37,10,33,0,0,1,3,0,4,0
74,9,41,7000,0,1,1,1,0,1
49,11,35,0,0,5,4,0,0,0
59,7,40,0,0,12,4,1,4,0
79,9,37,0,0,1,4,0,4,1
29,11,57,0,0,1,6,1,4,0
66,14,34,0,0,9,0,1,4,1
70,14,70,1000,0,9,0,0,4,1
71,12,18,0,0,2,1,1,4,0
63,6,42,0,0,3,4,0,4,0
38,12,37,0,0,7,0,0,4,0
46,10,6,0,0,1,1,1,0,0
55,12,44,0,0,7,0,1,4,1
35,8,60,0,0,5,4,1,4,0
52,11,43,0,0,5,0,1,4,0
70,13,44,0,0,8,6,1,4,1
49,8,43,0,0,0,4,1,2,0
70,13,31,0,0,1,5,1,4,0
49,8,43,0,0,9,4,0,0,0
55,14,48,0,0,7,6,1,4,1
53,10,51,0,0,13,1,1,0,0
37,8,42,0,0,12,1,1,2,0
43,12,48,0,0,8,3,1,2,0
58,9,41,0,0,3,0,1,4,1
68,7,31,0,0,9,4,0,4,0
40,8,47,0,0,11,6,0,4,0
64,7,57,0,0,9,0,1,4,1
54,10,49,0,0,3,6,1,4,0
50,8,38,0,0,5,0,1,4,0
40,7,43,0,0,2,0,1,4,0
52,13,49,0,0,10,0,1,4,1
58,13,44,0,0,0,6,0,4,1
69,13,44,0,0,11,6,1,0,0
36,10,41,0,0,2,4,1,4,0
55,8,36,0,0,3,2,1,0,0
59,7,39,0,0,3,0,1,4,1
59,12,41,0,0,10,2,1,4,0
53,16,61,0,0,13,4,0,4,1
48,14,45,0,0,1,0,1,0,0
26,12,42,0,0,11,0,1,4,0
27,11,31,0,0,9,1,0,4,0
71,9,32,0,0,7,6,1,4,0
31,12,59,0,0,0,6,0,4,0
47,8,19,0,0,5,1,1,4,0
57,4,43,0,0,8,1,1,4,0
63,8,53,0,0,5,0,1,4,1
90,10,45,0,0,12,0,1,4,1
65,7,55,0,0,4,4,1,4,0
82,13,48,0,0,0,0,0,0,1
59,8,47,0,0,1,6,1,4,0
45,12,25,0,0,12,0,1,4,1
63,12,48,0,0,0,0,1,4,1
46,10,55,0,0,6,4,0,4,0
48,11,40,0,0,6,0,0,4,0
60,12,46,99999,0,4,0,1,4,1
49,10,27,0,0,13,0,1,4,0
74,14,41,0,0,0,6,1,4,1
64,7,46,0,0,9,0,0,4,0
47,9,28,0,0,0,1,0,4,0
55,10,37,10000,0,8,1,0,0,0
41,15,49,7000,0,2,0,1,4,1
42,8,49,0,0,11,0,1,4,0
68,14,26,2000,0,4,1,1,4,1
52,8,42,0,0,12,0,1,4,0
40,12,34,0,0,1,6,1,4,0
58,9,35,0,0,8,0,1,4,0
36,7,38,0,0,2,0,0,4,0
39,13,49,0,0,6,0,1,4,0
47,9,54,0,0,8,0,1,4,1
55,8,36,0,0,8,0,0,4,0
46,9,20,0,0,5,4,1,4,0
48,7,38,0,0,0,1,1,4,0
53,9,28,0,0,0,0,0,4,0
59,10,60,0,0,2,0,1,4,1
77,11,44,0,0,2,6,1,4,1
32,13,43,0,0,7,0,0,4,0
48,11,30,0,0,0,6,1,0,0
43,3,25,0,0,4,0,1,0,0
73,12,52,0,0,2,1,0,4,1
60,7,46,0,0,9,1,0,4,0
75,11,39,0,0,8,0,1,4,0
72,11,58,0,0,9,6,1,4,0
44,13,33,0,0,2,1,1,4,0
85,12,62,0,0,13,1,0,4,0
54,9,40,2000,0,7,0,0,4,0
50,14,37,0,0,3,0,0,4,0
33,9,40,0,0,4,6,1,4,0
58,8,30,0,0,6,1,1,4,0
51,12,52,7000,1000,1,6,1,4,1
64,11,46,7000,0,7,0,1,4,1
38,10,51,0,0,1,1,1,0,0
46,12,27,0,0,9,0,1,4,0
43,9,44,0,0,3,1,0,4,0
82,10,32,0,0,10,4,0,4,0
49,13,39,0,0,6,6,0,4,1
38,11,25,0,0,1,0,0,4,1
30,9,30,0,2000,0,0,1,4,1
60,9,53,0,0,7,4,0,4,0
62,15,47,0,0,3,1,1,4,1
39,8,32,0,0,2,0,0,4,0
50,10,32,0,0,8,0,0,4,0
72,8,26,0,2000,7,4,0,2,0
53,5,32,0,0,1,0,0,4,0
53,9,29,0,0,3,0,1,4,1
43,9,56,0,0,5,0,1,4,0
59,10,38,0,0,0,6,1,4,1
60,6,32,0,0,3,0,1,4,0
43,10,46,0,0,3,0,0,4,0
46,8,38,0,0,12,0,1,2,0
62,11,40,0,0,5,0,0,4,0
53,4,42,0,0,0,4,1,4,0
54,13,33,0,0,12,2,1,4,1
40,10,49,0,0,6,0,0,4,0
48,13,40,0,1500,1,0,1,4,1
47,9,33,0,0,9,6,1,4,0
68,11,48,0,0,11,6,0,4,0
41,7,45,0,0,6,4,0,4,0
56,8,41,0,0,12,4,0,4,0
74,7,19,0,0,5,6,1,2,0
55,8,48,0,0,0,2,0,0,0
57,7,31,0,0,3,1,1,4,0
54,14,41,0,0,8,0,1,4,1
53,6,41,0,0,8,1,1,4,0
58,8,39,0,0,6,6,0,4,0
40,10,36,0,0,1,0,1,2,0
53,14,45,0,0,1,4,0,0,0
44,10,38,0,0,1,6,1,4,0
47,13,32,0,0,0,0,1,4,1
72,13,46,0,0,11,0,1,4,1
47,10,43,0,0,3,0,1,4,0
40,8,39,0,0,1,0,1,4,0
64,12,17,0,0,8,0,0,4,1
75,8,34,0,0,10,4,1,4,0
54,10,33,0,0,3,0,0,4,0
75,9,38,0,0,0,6,1,4,0
50,10,22,0,0,6,0,0,4,0
61,7,34,0,0,1,0,1,4,1
52,10,38,0,0,4,6,1,4,0
48,9,43,0,500,3,6,1,4,0
49,7,30,0,0,0,1,1,4,0
58,13,55,0,500,1,0,1,4,1
69,10,47,0,0,12,0,1,4,1
67,12,53,0,0,4,6,0,4,1
41,12,49,0,0,12,1,1,4,0
55,9,39,0,0,2,0,1,4,1
39,12,38,0,0,5,1,1,4,0
51,9,50,0,0,9,0,0,4,0
73,9,35,0,0,0,6,0,4,0
81,12,39,0,2000,2,1,1,0,0
55,9,32,0,0,7,0,0,2,0
31,15,52,0,0,2,6,1,2,1
47,15,19,0,0,10,0,0,4,1
48,14,53,0,0,4,0,0,3,1
41,11,54,0,0,7,6,0,4,0
65,9,42,0,1500,8,0,1,4,0
55,10,59,0,0,4,2,1,4,0
63,11,20,0,0,11,0,0,4,0
69,11,48,0,0,2,2,0,4,0
39,8,29,0,0,4,0,1,4,0
83,15,51,0,0,1,0,1,4,1
48,9,19,0,0,1,4,1,4,0
57,7,55,0,0,4,4,1,0,0
57,10,33,0,0,8,6,1,4,0
46,7,27,0,0,10,0,1,4,0
39,10,24,0,0,1,5,1,4,0
67,10,40,0,2000,3,4,1,0,0
33,12,55,0,0,12,1,0,2,0
44,13,44,0,0,0,0,0,4,1
58,8,10,0,0,9,1,1,4,0
67,7,47,0,0,3,1,1,4,0
56,10,23,0,0,2,0,0,4,0
63,9,47,7000,0,2,6,1,4,0
39,9,46,10000,0,7,1,1,0,0
39,9,51,0,0,7,1,1,4,0
43,14,39,0,0,1,1,0,4,1
47,7,30,0,0,5,4,1,0,0
60,8,47,99999,0,0,0,0,4,0
34,8,66,0,0,11,0,1,4,0
48,12,24,0,0,5,3,0,0,0
51,11,24,0,0,13,4,1,4,0
54,9,35,0,0,1,4,0,4,0
55,11,39,0,0,4,0,0,4,0
45,6,23,5000,0,5,4,0,4,0
63,12,48,0,0,3,0,0,4,0
46,8,49,0,0,6,0,1,4,1
45,8,33,0,0,4,0,0,4,0
54,12,50,0,0,6,6,1,4,1
43,4,65,0,0,11,0,1,4,1
83,9,33,0,0,4,1,1,4,0
55,10,13,0,0,9,5,0,4,0
47,10,35,0,0,3,0,1,0,0
62,12,54,0,2500,2,6,0,4,1
48,11,29,0,0,1,0,1,4,0
59,10,22,0,0,6,6,1,4,0
70,5,55,0,0,0,4,1,4,0
49,7,25,0,0,0,0,1,4,0
55,9,34,1000,2500,9,4,1,2,0
34,6,66,0,0,8,0,0,4,1
56,6,39,0,0,0,6,0,4,0
60,13,45,0,0,12,6,1,4,0
65,12,39,0,0,4,6,1,4,1
75,9,32,0,0,2,0,1,4,1
38,11,35,0,0,6,0,0,0,0
46,7,33,0,0,1,0,1,4,1
75,11,40,0,0,0,0,1,4,1
32,10,52,99999,0,10,4,0,4,0
31,14,37,0,0,0,6,0,2,1
41,12,49,1000,0,2,1,1,4,1
41,9,51,0,0,7,0,1,4,0
71,15,48,10000,0,11,0,1,4,1
85,12,31,0,0,0,6,1,4,1
29,12,51,0,0,7,0,0,4,0
35,10,20,0,0,7,0,1,0,0
55,14,36,0,0,2,6,1,4,1
51,10,33,0,0,10,1,1,4,0
55,9,58,0,0,3,5,1,4,0
52,13,59,0,0,2,6,1,4,1
36,10,46,0,0,5,4,1,2,0
39,9,32,0,0,1,0,0,4,0
45,13,38,0,0,7,0,1,4,1
58,9,38,0,0,1,6,1,4,0
54,14,52,0,0,9,4,0,4,0
57,10,45,0,0,7,0,1,4,0
50,9,40,0,0,13,2,0,4,0
77,11,32,0,0,0,0,0,4,0
90,12,35,0,0,1,6,1,4,1
56,8,25,0,0,2,6,1,1,0
63,7,52,0,0,2,6,1,4,0
66,8,35,0,0,5,4,1,4,1
53,11,32,0,0,11,0,1,4,1
69,10,49,0,0,0,0,0,4,0
58,11,43,0,0,12,0,0,4,0
43,8,32,0,0,0,6,1,4,0
46,13,24,0,1500,2,3,1,4,0
52,12,42,0,0,3,5,1,0,0
40,14,28,0,500,5,4,1,4,0
57,11,38,0,0,11,6,1,4,0
65,10,60,0,0,5,0,1,4,1
81,10,28,99999,0,13,6,0,2,0
64,11,27,0,0,12,0,1,4,1
61,8,45,0,0,8,0,1,4,0
60,9,45,0,0,2,1,1,4,0
48,14,50,0,0,0,1,0,4,1
48,10,61,0,0,5,6,0,4,0
60,10,46,0,0,0,4,0,4,0
41,10,35,0,0,1,0,0,4,0
48,10,53,0,0,5,1,1,4,0
69,11,43,0,0,9,0,1,4,1
43,7,46,0,0,6,4,1,4,0
45,8,26,0,0,12,1,1,4,0
46,10,42,15000,0,6,0,0,4,0
78,9,64,0,0,0,0,0,4,1
40,8,39,5000,0,0,4,0,4,0
46,9,35,0,0,6,5,0,4,0
